2023-07-30 09:39:01,648ERROR   :错误代码：Handshake status 401 Unauthorized -+-+- {'date': 'Sun, 30 Jul 2023 01:39:02 GMT', 'content-type': 'application/json; charset=utf-8', 'connection': 'keep-alive', 'content-length': '76', 'server': 'kong/1.3.0'} -+-+- b'{"message":"HMAC signature cannot be verified: fail to retrieve credential"}'
2023-09-10 11:14:15,424INFO    :连接关闭
2023-10-03 16:02:18,365INFO    :连接关闭
2024-04-15 21:21:03,808INFO    :连接关闭
2024-04-15 21:21:30,962INFO    :连接关闭
2024-06-04 21:40:02,732INFO    :连接关闭
2024-06-07 16:19:38,654INFO    :连接关闭
2024-08-14 07:00:33,780INFO    :连接关闭
2024-08-14 07:01:01,844INFO    :连接关闭
2024-08-14 07:01:26,311INFO    :连接关闭
2024-10-15 09:56:09,832INFO    :连接关闭
